105 193 
107 195 
112 2 
115 201 
116 202 
117 203 
118 204 
11 108 
123 209 
125 210 
126 211 
128 213 
129 214 
131 216 
137 221 
153 236 
154 237 
163 245 
172 253 
189 269 
190 27 
192 271 
199 278 
19 115 
207 285 
212 29 
215 292 
216 293 
22 118 
23 119 
246 32 
254 327 
273 344 
281 351 
305 373 
313 380 
314 381 
35 13 
361 423 
366 428 
367 429 
371 432 
372 433 
376 437 
380 440 
381 441 
382 442 
383 443 
384 444 
385 445 
388 448 
389 449 
392 451 
394 453 
395 454 
396 455 
397 456 
398 457 
399 458 
3 100 
400 459 
401 46 
403 461 
404 462 
406 464 
409 467 
416 473 
417 474 
428 484 
429 485 
43 137 
449 502 
451 504 
45 139 
461 513 
471 522 
477 528 
488 538 
493 542 
49 142 
503 551 
507 555 
510 558 
511 559 
518 565 
519 566 
520 567 
528 574 
529 575 
530 576 
538 583 
53 146 
541 586 
54 147 
552 596 
553 597 
554 598 
55 148 
564 606 
584 70 
589 75 
603 88 
606 90 
67 159 
70 161 
75 166 
79 17 
83 173 
84 174 
91 180 
92 181 
9 106 
